Id,Neighborhood,MS Zoning_RM,Land Contour_HLS,Roof Style_Mansard,Exterior 1st_BrkFace,Bsmt Exposure_Gd,Functional_Typ,Sale Type_New,MS SubClass Kitchen AbvGr,Lot Frontage Overall Qual,Lot Area Overall Qual,Lot Area Screen Porch,Lot Area Heating QC,Overall Qual^2,Overall Qual Gr Liv Area,Overall Qual Bsmt Full Bath,Overall Qual TotRms AbvGrd,Overall Qual Fireplaces,Overall Qual Garage Area,Overall Qual Exter Qual,Overall Qual age_when_sold,Overall Cond Total Bsmt SF,Overall Cond 1st Flr SF,Overall Cond Gr Liv Area,Year Remod/Add^2,Mas Vnr Area Garage Cars,Mas Vnr Area Pool Area,Mas Vnr Area Misc Val,BsmtFin SF 1 Garage Cars,BsmtFin SF 1 Mo Sold,BsmtFin SF 1 Heating QC,BsmtFin SF 2 Pool Area,Total Bsmt SF Garage Cars,1st Flr SF Heating QC,Gr Liv Area Heating QC,Gr Liv Area Kitchen Qual,Bsmt Full Bath Exter Qual,Bsmt Half Bath Misc Val,Full Bath Wood Deck SF,Kitchen AbvGr age_when_sold,Fireplaces Garage Cars,Fireplaces Exter Qual,Garage Area Kitchen Qual,Kitchen Qual age_when_sold,Exter Qual age_when_sold
2658,0,1,0,0,0,0,1,0,380.0,414.0,54852.0,0.0,36568.0,36.0,11568.0,0.0,54.0,0.0,2640.0,12.0,576.0,8160.0,7264.0,15424.0,3802500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,3632.0,7712.0,1928.0,0.0,0.0,0.0,192.0,0.0,0.0,440.0,96.0,192.0
2718,0,0,0,0,0,0,1,0,180.0,338.0470162748644,48310.0,0.0,28986.0,25.0,9835.0,0.0,50.0,0.0,2900.0,10.0,145.0,7868.0,7868.0,7868.0,3908529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3934.0,5901.0,5901.0,3934.0,0.0,0.0,340.0,58.0,0.0,0.0,1160.0,58.0,58.0
2414,1,0,0,0,0,0,1,1,60.0,406.0,119728.0,0.0,85520.0,49.0,10472.0,7.0,49.0,7.0,2982.0,21.0,0.0,3270.0,3320.0,7480.0,4024036.0,0.0,0.0,0.0,1108.0,4986.0,2770.0,0.0,1308.0,3320.0,7480.0,4488.0,3.0,0.0,200.0,0.0,2.0,3.0,1278.0,0.0,0.0
1989,0,1,0,0,0,0,1,0,30.0,300.0,42600.0,0.0,25560.0,25.0,4840.0,0.0,25.0,0.0,2400.0,15.0,420.0,5808.0,5808.0,5808.0,4024036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936.0,2904.0,2904.0,1936.0,0.0,0.0,0.0,84.0,0.0,0.0,960.0,168.0,252.0
625,0,0,0,0,0,0,1,0,20.0,405.65641952983725,57000.0,1757500.0,38000.0,36.0,8364.0,6.0,36.0,12.0,3084.0,12.0,276.0,6970.0,6970.0,6970.0,3853369.0,494.0,0.0,0.0,1218.0,4263.0,2436.0,0.0,2788.0,5576.0,5576.0,2788.0,2.0,0.0,0.0,46.0,4.0,4.0,1028.0,92.0,92.0
333,0,1,0,0,0,0,1,0,160.0,84.0,7560.0,0.0,5670.0,16.0,4368.0,0.0,20.0,0.0,1144.0,8.0,152.0,3276.0,3276.0,6552.0,3888784.0,0.0,0.0,0.0,294.0,1764.0,882.0,0.0,546.0,1638.0,3276.0,2184.0,0.0,0.0,0.0,38.0,0.0,0.0,572.0,76.0,76.0
1327,0,1,0,0,0,0,1,0,20.0,208.0,34064.0,0.0,25548.0,16.0,4372.0,0.0,20.0,0.0,1232.0,8.0,200.0,5214.0,6558.0,6558.0,4024036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,869.0,3279.0,3279.0,2186.0,0.0,0.0,0.0,50.0,0.0,0.0,616.0,100.0,100.0
858,1,0,0,0,0,0,1,0,20.0,298.6363636363636,46430.0,0.0,27858.0,25.0,6340.0,0.0,25.0,0.0,1260.0,10.0,160.0,8876.0,8876.0,8876.0,3956121.0,0.0,0.0,0.0,196.0,1960.0,588.0,0.0,1268.0,3804.0,3804.0,3804.0,0.0,0.0,173.0,32.0,0.0,0.0,756.0,96.0,64.0
95,1,0,0,0,0,0,1,0,160.0,273.0,24605.0,0.0,17575.0,49.0,11760.0,0.0,21.0,0.0,4116.0,21.0,42.0,4200.0,4200.0,8400.0,4016016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1680.0,4200.0,8400.0,5040.0,0.0,0.0,0.0,6.0,0.0,0.0,1764.0,18.0,18.0
1568,0,0,0,0,0,0,1,0,20.0,450.0,60750.0,0.0,30375.0,36.0,7674.0,0.0,36.0,12.0,2838.0,12.0,186.0,7176.0,7674.0,7674.0,3908529.0,0.0,0.0,0.0,1282.0,1282.0,1923.0,0.0,2392.0,3837.0,3837.0,2558.0,0.0,0.0,476.0,31.0,4.0,4.0,946.0,62.0,62.0
2482,1,0,0,0,0,0,1,0,120.0,300.0,43050.0,0.0,28700.0,36.0,7302.0,0.0,30.0,0.0,2904.0,18.0,90.0,6085.0,6085.0,6085.0,3964081.0,0.0,0.0,0.0,556.0,1668.0,1112.0,0.0,2434.0,4868.0,4868.0,3651.0,0.0,0.0,0.0,15.0,0.0,0.0,1452.0,45.0,45.0
1364,0,1,0,0,0,0,1,0,30.0,360.0,43200.0,0.0,28800.0,36.0,6240.0,0.0,30.0,0.0,1920.0,12.0,498.0,7280.0,7280.0,7280.0,3968064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,4160.0,4160.0,2080.0,0.0,0.0,0.0,83.0,0.0,0.0,640.0,166.0,166.0
2584,0,0,0,0,0,0,1,0,20.0,450.0,67860.0,0.0,56550.0,36.0,8250.0,0.0,30.0,6.0,2706.0,12.0,312.0,6835.0,6875.0,6875.0,3818116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2734.0,6875.0,6875.0,2750.0,0.0,0.0,0.0,52.0,2.0,2.0,902.0,104.0,104.0
818,1,0,0,0,0,0,1,0,180.0,473.2658227848101,55832.0,0.0,39880.0,49.0,19509.0,14.0,56.0,14.0,5740.0,14.0,63.0,5840.0,5840.0,13935.0,4000000.0,92.0,0.0,0.0,3280.0,8200.0,4100.0,0.0,4672.0,5840.0,13935.0,5574.0,4.0,0.0,1248.0,18.0,8.0,4.0,1640.0,18.0,18.0
2673,0,0,0,0,0,0,1,0,70.0,414.0,70422.0,0.0,35211.0,36.0,10962.0,0.0,54.0,6.0,1440.0,12.0,492.0,5936.0,7119.0,12789.0,3984016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,3051.0,5481.0,3654.0,0.0,0.0,27.0,82.0,1.0,2.0,480.0,164.0,164.0
2089,0,0,0,0,0,0,1,0,20.0,300.0,45300.0,0.0,45300.0,25.0,6700.0,0.0,35.0,5.0,1260.0,10.0,250.0,0.0,8040.0,8040.0,4024036.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6700.0,6700.0,2680.0,0.0,0.0,116.0,50.0,1.0,2.0,504.0,100.0,100.0
1297,0,1,0,0,0,0,1,0,380.0,360.0,64800.0,0.0,32400.0,36.0,8616.0,0.0,48.0,12.0,4968.0,12.0,408.0,5304.0,5304.0,8616.0,3802500.0,0.0,0.0,0.0,1180.0,2950.0,1770.0,0.0,1768.0,2652.0,4308.0,2872.0,0.0,0.0,0.0,136.0,4.0,4.0,1656.0,136.0,136.0
790,0,0,0,0,0,0,1,0,20.0,340.0,47855.0,0.0,28713.0,25.0,5365.0,5.0,25.0,0.0,1700.0,10.0,265.0,5365.0,5365.0,5365.0,3825936.0,0.0,0.0,0.0,257.0,514.0,771.0,0.0,1073.0,3219.0,3219.0,2146.0,2.0,0.0,0.0,53.0,0.0,0.0,680.0,106.0,106.0
2616,0,0,0,0,0,0,0,0,20.0,480.0,64800.0,1555200.0,32400.0,36.0,10638.0,6.0,36.0,12.0,2508.0,12.0,270.0,7878.0,10638.0,10638.0,3968064.0,208.0,0.0,0.0,1826.0,7304.0,2739.0,0.0,2626.0,5319.0,5319.0,3546.0,2.0,0.0,710.0,45.0,4.0,4.0,836.0,90.0,90.0
